Epoch,Training Loss,Validation Loss,Perplexity,Sample
1,3.5159198683361677,3.875662326812744,33.53288269042969,Python Developer-Fresher : Lead and manage teams; Collaborate with cross-Experienced : Lead and implement SEO; Mentor junior engineers; Collaborate with cross-Experienced : Lead cross-Experienced : Lead and manage cloud infrastructure; Mentor junior engineers; Mentor
2,2.743772113045981,3.151249885559082,24.909412384033203,Python Developer-Fresher : Assist in testing; Collaborate with team members; Support data analysis; Support data analysis; Support data-Experienced : Lead and implement and maintain BI projects; Collaborate with team members; Collaborate with team members; Collaborate with team members;
3,2.3495442922725234,2.982436180114746,15.967185974121094,Python Developer-Fresher : Assist in basic data analysis; Support data analysis and data analysis; Collaborate with team members; Support data analysis; Support team members<|endoftext|>Data Analyst-Fresher : Assist in data analysis and data analysis tasks; Support data analysis; Support data analysis
4,1.9513310609861862,2.903541088104248,11.034031867980957,Python Developer-Fresher : Assist in basic data analysis; Support web application development; Support cloud infrastructure and data; Support senior designers; Collaborate with team members<|endoftext|>SEO Specialist-Fresher : Support in Agile documentation; Document prompt engineering teams; Learn and optimize prompts
5,1.4746698917344558,2.717481851577759,8.00635051727295,Python Developer-Fresher : Assist in Python application development; Support in developing basic data integrity and presentations; Support senior designers; Learn and processes; Prepare basic data integrity; Collaborate with cross-functional teams; Document research; Document development teams; Document research; Document research and product
6,0.9920849536740503,2.523916006088257,4.007084369659424,Python Developer-Fresher : Assist in Python application development; Support in Python application development; Perform data collection and code reviews; Collaborate with senior team members; Assist in code and code and code reviews; Document code; Document results and code and workflows; Collaborate with senior
7,0.6239154782406119,2.537497043609619,3.0944864749908447,Python Developer-Fresher : Assist in Python application development; Support in developing basic ML models using Python development with Django/Flask; Perform data collection and and insights; Collaborate with cross-functional teams; Document development of data analysis and workflows<|endoftext|>Test Automation Engineer -
8,0.3665729255177254,2.6784567832946777,2.0134053230285645,Python Developer-Fresher : Assist in Python application development; Implement basic programming logic; Support web app development with Django/Flask; Perform data analysis using Pandas and NumPy; Perform testing; Collaborate with team; Perform web application development; Document best practices; Document work
9,0.2250860804735228,2.7910752296447754,1.4318642616271973,Python Developer-Fresher : Train in Python application development; Implement basic programming logic; Support web app development with Django/Flask; Assist in data analysis tasks; Document code generation strategies; Create visualizations; Work on basic unit tests<|endoftext|>UX Design Intern-Experienced : Lead
10,0.14396784939738208,2.7501628398895264,1.3010741472244263,Python Developer-Fresher : Support data ingestion processes; Work with ML models using Python and mentor junior developers; Assist in documenting user stories; Learn cloud deployment and automation tools; Participate in version control with Matplotlib for data analysis; Document workflows and processes; Document research
11,0.09719182464272477,2.868910789489746,1.1826475858688354,Python Developer-Fresher : Train in Swift programming for mobile development.; Assist in connecting backend APIs with mobile frontend.; Debug small modules using Simulator.; Prepare basic documentation for code and features.; Shadow senior developers to understand workflows.<|endoftext|>Software Tester (SDET)-Experienced
12,0.06852215129968732,2.8304271697998047,1.1008574962615967,Python Developer-Fresher : Assist in Python application development; Implement basic programming logic; Support web app development with Django/Flask; Perform data analysis using Pandas and NumPy; Create visualizations with Matplotlib; Write unit tests; Document code and processes; Collaborate
